nodeId,embedding
324,"[0.05325954779982567, -0.026789959520101547]"
325,"[0.05321475863456726, 0.05798223987221718]"
326,"[0.052990805357694626, -0.01815677247941494]"
327,"[0.05294601246714592, 0.06661542505025864]"
328,"[0.05308038741350174, -0.18770116567611694]"
329,"[0.053035587072372437, -0.10292896628379822]"
330,"[0.0528116412460804, -0.17906798422336578]"
331,"[0.05276684835553169, -0.09429578483104706]"
332,"[0.05290122330188751, 0.15138763189315796]"
333,"[-8.365964889526367, 3.397902011871338]"
334,"[0.054065778851509094, -0.052689529955387115]"
335,"[0.05402098596096039, 0.03208267688751221]"
336,"[0.05415536090731621, -0.22223392128944397]"
337,"[0.0541105680167675, -0.13746172189712524]"
338,"[0.053886622190475464, -0.2136007398366928]"
339,"[-1.9932408332824707, -2.4567389488220215]"
340,"[0.05397619679570198, 0.11685487627983093]"
341,"[0.053931403905153275, 0.20162706077098846]"
342,"[0.05370745062828064, 0.1254880577325821]"
343,"[0.05366266146302223, 0.21026025712490082]"
344,"[0.05379703268408775, -0.04405633360147476]"
345,"[0.05375223979353905, 0.040715862065553665]"
346,"[0.05352828651666641, -0.035423148423433304]"
347,"[0.053483497351408005, 0.04934905096888542]"
348,"[0.053617868572473526, -0.20496754348278046]"
349,"[0.053573086857795715, -0.12019534409046173]"
350,"[0.05191583186388016, 0.016375984996557236]"
351,"[0.051871031522750854, 0.10114818066358566]"
352,"[0.052005402743816376, -0.15316841006278992]"
353,"[0.05196061357855797, -0.06839621067047119]"
354,"[0.05173666775226593, -0.14453522861003876]"
355,"[0.05169186741113663, -0.05976302549242973]"
356,"[0.05182624235749245, 0.18592038750648499]"
357,"[0.05178145691752434, -0.22930742800235748]"
358,"[0.0515575036406517, 0.19455356895923615]"
359,"[0.0515127032995224, -0.22067423164844513]"
360,"[0.05164707824587822, 0.025009173899888992]"
361,"[0.05160229280591011, 0.10978136956691742]"
362,"[0.051378339529037476, 0.03364235907793045]"
363,"[0.05133355036377907, 0.11841456592082977]"
364,"[0.05146792158484459, -0.1359020322561264]"
365,"[0.05142312869429588, -0.05112983658909798]"
366,"[0.05263247713446617, 0.16002081334590912]"
367,"[0.052587684243917465, 0.24479301273822784]"
368,"[0.052722059190273285, -0.009523584507405758]"
369,"[0.05267726629972458, 0.07524862140417099]"
370,"[0.052453313022851944, -0.0008903893758542836]"
371,"[0.052408523857593536, 0.08388181030750275]"
372,"[0.05254288762807846, -0.17043478786945343]"
373,"[0.05249810591340065, -0.0856625959277153]"
374,"[0.05227414891123772, -0.16180160641670227]"
375,"[0.052229367196559906, -0.07702939957380295]"
376,"[0.05236373096704483, 0.16865400969982147]"
377,"[0.05231894180178642, -0.246573805809021]"
378,"[0.05209498479962349, 0.17728719115257263]"
379,"[0.05205020308494568, -0.23794060945510864]"
380,"[0.0521845668554306, 0.007742797955870628]"
381,"[0.052139777690172195, 0.0925149992108345]"
382,"[0.06194893643260002, 0.02740360237658024]"
383,"[0.061904147267341614, 0.11217579990625381]"
384,"[0.062038518488407135, -0.14214079082012177]"
385,"[0.06199372559785843, -0.05736859515309334]"
386,"[0.061769772320985794, -0.1335076093673706]"
387,"[0.061724983155727386, -0.04873540997505188]"
388,"[0.06185934692621231, 0.19694799184799194]"
389,"[0.0618145652115345, -0.21827980875968933]"
390,"[0.06159060820937157, 0.2055811882019043]"
391,"[0.061545826494693756, -0.20964661240577698]"
392,"[0.06168019026517868, 0.03603679686784744]"
393,"[0.06163540109992027, 0.12080898880958557]"
394,"[0.06141144409775734, 0.0446699820458889]"
395,"[0.06136665493249893, 0.12944217026233673]"
396,"[0.06150102615356445, -0.12487442046403885]"
397,"[0.061456236988306046, -0.040102213621139526]"
398,"[0.06266558170318604, 0.17104843258857727]"
399,"[0.06262078881263733, -0.244179368019104]"
400,"[0.06275516748428345, 0.0015040391590446234]"
401,"[0.06271038204431534, 0.08627623319625854]"
402,"[0.062486421316862106, 0.010137226432561874]"
403,"[0.062441635876894, 0.0949094146490097]"
404,"[0.06257601082324982, -0.15940716862678528]"
405,"[0.06253121048212051, -0.07463496923446655]"
406,"[0.06230725720524788, -0.15077398717403412]"
407,"[0.06226247176527977, -0.0660017803311348]"
408,"[0.06239684671163559, 0.17968161404132843]"
409,"[0.06235204637050629, -0.23554618656635284]"
410,"[-9.566936492919922, -5.18323278427124]"
411,"[0.06208330765366554, -0.2269129902124405]"
412,"[0.06221768260002136, 0.018770413473248482]"
413,"[0.06217288225889206, 0.10354260355234146]"
414,"[0.0605156272649765, 0.24011394381523132]"
415,"[0.06047084555029869, -0.17511385679244995]"
416,"[0.06060521677136421, 0.07056954503059387]"
417,"[0.060560427606105804, 0.1553417444229126]"
418,"[-2.02120041847229, 1.7489467859268188]"
419,"[0.060291681438684464, 0.16397492587566376]"
420,"[-4.4337897300720215, 2.876964807510376]"
421,"[0.06038126349449158, -0.005569464061409235]"
422,"[-7.672898292541504, 3.797102928161621]"
423,"[0.060112517327070236, 0.003063730662688613]"
424,"[0.06024688854813576, 0.24874712526798248]"
425,"[0.06020209193229675, -0.1664806753396988]"
426,"[0.059978146106004715, -0.24261967837810516]"
427,"[0.05993335321545601, -0.15784747898578644]"
428,"[0.06006772816181183, 0.08783593028783798]"
429,"[0.06002293527126312, 0.1726081222295761]"
430,"[0.06123229116201401, -0.1162412241101265]"
431,"[0.061187490820884705, -0.03146902844309807]"
432,"[0.061321865767240524, 0.21421436965465546]"
433,"[0.06127707287669182, -0.20101343095302582]"
434,"[0.06105312705039978, 0.2228475660085678]"
435,"[0.06100832670927048, -0.19238023459911346]"
436,"[0.0611427016556263, 0.05330317094922066]"
437,"[0.06109790876507759, 0.13807536661624908]"
438,"[0.06087396293878555, 0.061936359852552414]"
439,"[0.06082916259765625, 0.14670854806900024]"
440,"[0.06096353754401207, -0.10760803520679474]"
441,"[0.06091875210404396, -0.02283583953976631]"
442,"[0.06069479137659073, -0.09897484630346298]"
443,"[0.06065000221133232, -0.01420265156775713]"
444,"[0.06078438088297844, 0.23148074746131897]"
445,"[0.06073959171772003, -0.1837470531463623]"
446,"[0.059082332998514175, -0.04717571660876274]"
447,"[0.05903754383325577, 0.037596479058265686]"
448,"[0.05917190760374069, -0.2167201191186905]"
449,"[0.05912712588906288, -0.13194791972637177]"
450,"[0.05890317261219025, -0.20808692276477814]"
451,"[0.058858372271060944, -0.12331473082304001]"
452,"[0.05899275466799736, 0.12236867100000381]"
453,"[0.058947961777448654, 0.20714087784290314]"
454,"[0.05872400850057602, 0.13100185990333557]"
455,"[0.05867921561002731, 0.2157740592956543]"
456,"[-3.061960220336914, 1.8101366758346558]"
457,"[0.05876879766583443, 0.04622966796159744]"
458,"[0.05854484438896179, -0.029909342527389526]"
459,"[0.058500051498413086, 0.054862864315509796]"
460,"[-5.2601518630981445, -4.763671398162842]"
461,"[0.0585896335542202, -0.11468154191970825]"
462,"[0.05979898199439049, 0.09646911919116974]"
463,"[0.05975418910384178, 0.18124130368232727]"
464,"[0.0598885715007782, -0.07307527959346771]"
465,"[0.059843771159648895, 0.011696917936205864]"
466,"[0.05961981788277626, -0.06444209069013596]"
467,"[0.05957503616809845, 0.02033010497689247]"
468,"[0.05970940738916397, -0.233986496925354]"
469,"[0.05966460704803467, -0.14921429753303528]"
470,"[0.05944066122174263, -0.22535330057144165]"
471,"[-7.579851150512695, -5.2425618171691895]"
472,"[0.05953023582696915, 0.1051022931933403]"
473,"[0.05948544666171074, 0.18987450003623962]"
474,"[0.0592614971101284, 0.11373548209667206]"
475,"[0.059216707944869995, 0.19850768148899078]"
476,"[0.05935107171535492, -0.0558089055120945]"
477,"[0.05930628255009651, 0.028963293880224228]"
478,"[0.057649027556180954, 0.1655346155166626]"
479,"[0.057604242116212845, -0.24969318509101868]"
480,"[0.057738617062568665, -0.0040097725577652454]"
481,"[0.05769381672143936, 0.08076242357492447]"
482,"[-7.802132606506348, -4.617961883544922]"
483,"[0.05742507800459862, 0.08939561247825623]"
484,"[0.05755945295095444, -0.16492098569869995]"
485,"[0.057514652609825134, -0.08014878630638123]"
486,"[0.057290706783533096, -0.1562877893447876]"
487,"[0.05724591761827469, -0.07151559740304947]"
488,"[0.05738028883934021, 0.17416781187057495]"
489,"[0.057335495948791504, -0.24105998873710632]"
490,"[0.05711154267191887, 0.1828009933233261]"
491,"[0.05706675350666046, -0.23242680728435516]"
492,"[0.057201117277145386, 0.013256601989269257]"
493,"[0.057156335562467575, 0.09802880883216858]"
494,"[0.058365680277347565, -0.19082054495811462]"
495,"[0.05832089111208916, -0.1060483530163765]"
496,"[0.05845526233315468, 0.13963505625724792]"
497,"[0.05841047316789627, 0.22440725564956665]"
498,"[0.05818651616573334, 0.14826823770999908]"
499,"[0.05814172700047493, 0.2330404371023178]"
500,"[0.05827609822154045, -0.021276148036122322]"
501,"[-6.4468994140625, -3.8735523223876953]"
502,"[0.05800735205411911, -0.01264296006411314]"
503,"[0.0579625628888607, 0.07212923467159271]"
504,"[0.058096934109926224, -0.18218736350536346]"
505,"[0.05805215239524841, -0.09741515666246414]"
506,"[0.05782819166779518, -0.1735541671514511]"
507,"[0.05778340622782707, -0.08878196775913239]"
508,"[0.05791777744889259, 0.15690143406391144]"
509,"[0.057872988283634186, 0.24167363345623016]"
510,"[0.021816495805978775, -0.016706861555576324]"
511,"[0.021771712228655815, 0.0680653378367424]"
512,"[0.02190607786178589, -0.18625126779079437]"
513,"[-4.997959136962891, -4.354604244232178]"
514,"[0.021637333557009697, -0.17761807143688202]"
515,"[0.021592549979686737, -0.0928458720445633]"
516,"[0.02172691375017166, 0.15283752977848053]"
517,"[0.021682122722268105, 0.23760972917079926]"
518,"[0.021458176895976067, 0.1614707112312317]"
519,"[0.02141338586807251, 0.24624291062355042]"
520,"[-4.275113582611084, 2.4558324813842773]"
521,"[0.021502960473299026, 0.07669852674007416]"
522,"[0.02127901278436184, 0.000559512700419873]"
523,"[0.021234214305877686, 0.08533170819282532]"
524,"[0.021368587389588356, -0.16898488998413086]"
525,"[0.0213237963616848, -0.08421268314123154]"
526,"[0.022533142939209938, 0.12693797051906586]"
527,"[0.022488359361886978, 0.2117101550102234]"
528,"[0.02262273244559765, -0.04260643199086189]"
529,"[-7.299118995666504, -4.876151084899902]"
530,"[0.022353986278176308, -0.033973243087530136]"
531,"[0.02230919525027275, 0.05079895257949829]"
532,"[-4.367275238037109, -3.881739616394043]"
533,"[0.022398769855499268, -0.11874544620513916]"
534,"[0.02217482402920723, -0.19488444924354553]"
535,"[0.022130033001303673, -0.1101122573018074]"
536,"[0.022264404222369194, 0.13557115197181702]"
537,"[0.022219615057110786, 0.22034335136413574]"
538,"[0.021995659917593002, 0.14420433342456818]"
539,"[0.021950868889689445, 0.2289765328168869]"
540,"[0.022085241973400116, -0.025340057909488678]"
541,"[0.02204045094549656, 0.059432148933410645]"
542,"[0.020383195951581, 0.19600346684455872]"
543,"[0.020338404923677444, -0.21922433376312256]"
544,"[0.020472778007388115, 0.02645908296108246]"
545,"[0.020427986979484558, 0.11123128235340118]"
546,"[-6.312354564666748, -4.0500807762146]"
547,"[0.020159240812063217, 0.11986447125673294]"
548,"[0.020293613895773888, -0.13445213437080383]"
549,"[0.020248830318450928, -0.04967992752790451]"
550,"[0.020024867728352547, -0.12581893801689148]"
551,"[0.01998007670044899, -0.041046738624572754]"
552,"[0.020114457234740257, 0.20463666319847107]"
553,"[0.020069658756256104, -0.2105911374092102]"
554,"[-6.381647109985352, -3.9165682792663574]"
555,"[0.01980092190206051, -0.20195795595645905]"
556,"[0.01993529312312603, 0.04372545704245567]"
557,"[0.019890496507287025, 0.1284976601600647]"
558,"[0.021099848672747612, -0.1603516936302185]"
